City: Long Creek, IL, X-Axis: 39.8089, Y-Axis: 88.8565
City: Bethany, IL, X-Axis: 39.6447, Y-Axis: 88.7391
City: Bloomington, IL, X-Axis: 40.4776, Y-Axis: 88.9835
City: Martinsville, IL, X-Axis: 39.3384, Y-Axis: 87.8819
City: Waynetown, IN, X-Axis: 40.0876, Y-Axis: 87.0656
City: Remington, IN, X-Axis: 40.7627, Y-Axis: 87.1517
City: Dalton City, IL, X-Axis: 39.7135, Y-Axis: 88.8056
City: Cornell, IL, X-Axis: 40.9908, Y-Axis: 88.7298
City: Braidwood, IL, X-Axis: 41.272, Y-Axis: 88.2182
City: Normal, IL, X-Axis: 40.5122, Y-Axis: 88.9887
City: Grant Park, IL, X-Axis: 41.2407, Y-Axis: 87.6458
City: Mount Zion, IL, X-Axis: 39.778, Y-Axis: 88.8786
City: Lake Village, IN, X-Axis: 41.136, Y-Axis: 87.4495
City: Diamond, IL, X-Axis: 41.2877, Y-Axis: 88.2538
City: Casey, IL, X-Axis: 39.2995, Y-Axis: 87.9901
City: Rosedale, IN, X-Axis: 39.6232, Y-Axis: 87.281
City: Hudson, IL, X-Axis: 40.6057, Y-Axis: 88.9871
City: Forsyth, IL, X-Axis: 39.9258, Y-Axis: 88.9593
City: Flanagan, IL, X-Axis: 40.8774, Y-Axis: 88.8589
City: Coal City, IL, X-Axis: 41.2863, Y-Axis: 88.2826
City: Mazon, IL, X-Axis: 41.2396, Y-Axis: 88.4249
City: North Terre Haute, IN, X-Axis: 39.5317, Y-Axis: 87.3618
City: Alamo, IN, X-Axis: 39.9837, Y-Axis: 87.0551
City: West Terre Haute, IN, X-Axis: 39.4636, Y-Axis: 87.449
City: Symerton, IL, X-Axis: 41.3281, Y-Axis: 88.0546
City: Carbon Hill, IL, X-Axis: 41.2963, Y-Axis: 88.2995
City: Verona, IL, X-Axis: 41.2155, Y-Axis: 88.5026
City: Decatur, IL, X-Axis: 39.8516, Y-Axis: 88.9442
City: Kinsman, IL, X-Axis: 41.1906, Y-Axis: 88.5698
City: Peotone, IL, X-Axis: 41.3294, Y-Axis: 87.7951
City: Terre Haute, IN, X-Axis: 39.4696, Y-Axis: 87.3898
City: New Richmond, IN, X-Axis: 40.1949, Y-Axis: 86.9785
City: Schneider, IN, X-Axis: 41.1884, Y-Axis: 87.4484
City: Kappa, IL, X-Axis: 40.6764, Y-Axis: 89.0093
City: Collegeville, IN, X-Axis: 40.9146, Y-Axis: 87.1581
City: Ransom, IL, X-Axis: 41.156, Y-Axis: 88.6532
City: Toledo, IL, X-Axis: 39.2721, Y-Axis: 88.2428
City: Waveland, IN, X-Axis: 39.8783, Y-Axis: 87.0429
City: Greenup, IL, X-Axis: 39.2473, Y-Axis: 88.1621
City: Findlay, IL, X-Axis: 39.5211, Y-Axis: 88.7544
City: Neoga, IL, X-Axis: 39.3218, Y-Axis: 88.4521
City: Rensselaer, IN, X-Axis: 40.9381, Y-Axis: 87.1513
City: Shadeland, IN, X-Axis: 40.3654, Y-Axis: 86.9449
City: Wolcott, IN, X-Axis: 40.7589, Y-Axis: 87.0421
City: El Paso, IL, X-Axis: 40.7388, Y-Axis: 89.016
City: Kenney, IL, X-Axis: 40.0992, Y-Axis: 89.0862
City: Waynesville, IL, X-Axis: 40.2417, Y-Axis: 89.1251
City: Warrensburg, IL, X-Axis: 39.9311, Y-Axis: 89.0613
City: Panola, IL, X-Axis: 40.7851, Y-Axis: 89.0209
City: Elwood, IL, X-Axis: 41.4136, Y-Axis: 88.1104
City: Seelyville, IN, X-Axis: 39.4922, Y-Axis: 87.2665
City: Beecher, IL, X-Axis: 41.3452, Y-Axis: 87.6255
City: Manhattan, IL, X-Axis: 41.422, Y-Axis: 87.981
City: Long Point, IL, X-Axis: 41.0047, Y-Axis: 88.8937
City: West Lafayette, IN, X-Axis: 40.4419, Y-Axis: 86.9124
City: Roselawn, IN, X-Axis: 41.1546, Y-Axis: 87.2887
City: Jewett, IL, X-Axis: 39.2085, Y-Axis: 88.2452
