City: Linden, IN, X-Axis: 40.1887, Y-Axis: 86.9033
City: Russellville, IN, X-Axis: 39.8572, Y-Axis: 86.9835
City: Monee, IL, X-Axis: 41.4189, Y-Axis: 87.7458
City: Lafayette, IN, X-Axis: 40.4106, Y-Axis: 86.8747
City: Carbon, IN, X-Axis: 39.599, Y-Axis: 87.1075
City: Crawfordsville, IN, X-Axis: 40.0388, Y-Axis: 86.8968
City: New Market, IN, X-Axis: 39.9519, Y-Axis: 86.9208
City: Lowell, IN, X-Axis: 41.2924, Y-Axis: 87.4151
City: Riley, IN, X-Axis: 39.3898, Y-Axis: 87.3004
City: Staunton, IN, X-Axis: 39.4873, Y-Axis: 87.1883
City: University Park, IL, X-Axis: 41.4395, Y-Axis: 87.6973
City: Brazil, IN, X-Axis: 39.525, Y-Axis: 87.1274
City: Brookston, IN, X-Axis: 40.6012, Y-Axis: 86.8658
City: Battle Ground, IN, X-Axis: 40.5091, Y-Axis: 86.8455
City: Lake Dalecarlia, IN, X-Axis: 41.3317, Y-Axis: 87.4039
City: New Lenox, IL, X-Axis: 41.5083, Y-Axis: 87.9706
City: Frankfort, IL, X-Axis: 41.4981, Y-Axis: 87.8495
City: Chalmers, IN, X-Axis: 40.6626, Y-Axis: 86.8676
City: Cedar Lake, IN, X-Axis: 41.3672, Y-Axis: 87.4383
City: Richton Park, IL, X-Axis: 41.482, Y-Axis: 87.7254
City: De Motte, IN, X-Axis: 41.1981, Y-Axis: 87.1992
City: Knightsville, IN, X-Axis: 39.5262, Y-Axis: 87.0908
City: Crete, IL, X-Axis: 41.4559, Y-Axis: 87.6188
City: Harmony, IN, X-Axis: 39.5354, Y-Axis: 87.0739
City: Park Forest, IL, X-Axis: 41.484, Y-Axis: 87.6871
City: Steger, IL, X-Axis: 41.4705, Y-Axis: 87.631
City: Reynolds, IN, X-Axis: 40.7501, Y-Axis: 86.8737
City: Frankfort Square, IL, X-Axis: 41.5189, Y-Axis: 87.8032
City: Farmersburg, IN, X-Axis: 39.2533, Y-Axis: 87.3815
City: Matteson, IL, X-Axis: 41.5098, Y-Axis: 87.7393
City: Mokena, IL, X-Axis: 41.5344, Y-Axis: 87.8769
City: South Chicago Heights, IL, X-Axis: 41.4834, Y-Axis: 87.6375
City: Hutsonville, IL, X-Axis: 39.1091, Y-Axis: 87.6593
City: Dayton, IN, X-Axis: 40.3746, Y-Axis: 86.7694
City: Olympia Fields, IL, X-Axis: 41.5183, Y-Axis: 87.6927
City: Darlington, IN, X-Axis: 40.1082, Y-Axis: 86.7766
City: Chicago Heights, IL, X-Axis: 41.512, Y-Axis: 87.6402
City: St. John, IN, X-Axis: 41.4482, Y-Axis: 87.4767
City: Sauk Village, IL, X-Axis: 41.4885, Y-Axis: 87.5657
City: Monon, IN, X-Axis: 40.8636, Y-Axis: 86.8797
City: Ford Heights, IL, X-Axis: 41.5093, Y-Axis: 87.5879
City: Flossmoor, IL, X-Axis: 41.5417, Y-Axis: 87.685
City: Ladoga, IN, X-Axis: 39.9152, Y-Axis: 86.7993
City: Tinley Park, IL, X-Axis: 41.5738, Y-Axis: 87.8039
City: Shelburn, IN, X-Axis: 39.1795, Y-Axis: 87.3969
City: Country Club Hills, IL, X-Axis: 41.5621, Y-Axis: 87.7208
City: Orland Hills, IL, X-Axis: 41.5887, Y-Axis: 87.8408
City: Dyer, IN, X-Axis: 41.5002, Y-Axis: 87.5122
City: Crown Point, IN, X-Axis: 41.4217, Y-Axis: 87.3561
City: Center Point, IN, X-Axis: 39.4158, Y-Axis: 87.0767
City: Clarks Hill, IN, X-Axis: 40.247, Y-Axis: 86.7239
City: Homewood, IL, X-Axis: 41.558, Y-Axis: 87.6626
City: Roachdale, IN, X-Axis: 39.8504, Y-Axis: 86.8004
City: Glenwood, IL, X-Axis: 41.5449, Y-Axis: 87.6121
City: Hebron, IN, X-Axis: 41.3217, Y-Axis: 87.2016
City: Lynwood, IL, X-Axis: 41.5264, Y-Axis: 87.5482
City: Willow Hill, IL, X-Axis: 38.9973, Y-Axis: 88.0213
City: Hazel Crest, IL, X-Axis: 41.5731, Y-Axis: 87.6859
City: Oblong, IL, X-Axis: 39.0013, Y-Axis: 87.9085
City: Wheatfield, IN, X-Axis: 41.1914, Y-Axis: 87.0525
City: Orland Park, IL, X-Axis: 41.6116, Y-Axis: 87.8543
