City: McLean, IL, X-Axis: 40.315, Y-Axis: 89.1706
City: Streator, IL, X-Axis: 41.1248, Y-Axis: 88.8309
City: Hidalgo, IL, X-Axis: 39.1566, Y-Axis: 88.1507
City: Seneca, IL, X-Axis: 41.3086, Y-Axis: 88.607
City: Minooka, IL, X-Axis: 41.4548, Y-Axis: 88.2601
City: Minonk, IL, X-Axis: 40.9024, Y-Axis: 89.036
City: Danvers, IL, X-Axis: 40.5289, Y-Axis: 89.1768
City: Sigel, IL, X-Axis: 39.2262, Y-Axis: 88.4952
City: Yale, IL, X-Axis: 39.1209, Y-Axis: 88.0244
City: Shelbyville, IL, X-Axis: 39.4081, Y-Axis: 88.7997
City: Latham, IL, X-Axis: 39.9669, Y-Axis: 89.162
City: Preston Heights, IL, X-Axis: 41.4966, Y-Axis: 88.0726
City: Kangley, IL, X-Axis: 41.1466, Y-Axis: 88.8727
City: Secor, IL, X-Axis: 40.7411, Y-Axis: 89.1359
City: Montrose, IL, X-Axis: 39.1658, Y-Axis: 88.3784
City: Rockdale, IL, X-Axis: 41.5075, Y-Axis: 88.1152
City: Moweaqua, IL, X-Axis: 39.6254, Y-Axis: 89.0177
City: Stanford, IL, X-Axis: 40.434, Y-Axis: 89.2223
City: Stewardson, IL, X-Axis: 39.2632, Y-Axis: 88.629
City: Rose Hill, IL, X-Axis: 39.104, Y-Axis: 88.1485
City: Atlanta, IL, X-Axis: 40.2627, Y-Axis: 89.2331
City: Ingalls Park, IL, X-Axis: 41.5203, Y-Axis: 88.0374
City: Congerville, IL, X-Axis: 40.6141, Y-Axis: 89.2066
City: Shorewood, IL, X-Axis: 41.5177, Y-Axis: 88.2089
City: Rutland, IL, X-Axis: 40.9839, Y-Axis: 89.0434
City: Marseilles, IL, X-Axis: 41.3278, Y-Axis: 88.7011
City: Benson, IL, X-Axis: 40.85, Y-Axis: 89.1216
City: Joliet, IL, X-Axis: 41.533, Y-Axis: 88.1089
City: Niantic, IL, X-Axis: 39.8549, Y-Axis: 89.1655
City: Grand Ridge, IL, X-Axis: 41.2345, Y-Axis: 88.8326
City: Fairmont, IL, X-Axis: 41.5627, Y-Axis: 88.0623
City: Blue Mound, IL, X-Axis: 39.6997, Y-Axis: 89.1221
City: Teutopolis, IL, X-Axis: 39.1321, Y-Axis: 88.4784
City: Crest Hill, IL, X-Axis: 41.5645, Y-Axis: 88.1085
City: Lisbon, IL, X-Axis: 41.4806, Y-Axis: 88.4827
City: Crystal Lawns, IL, X-Axis: 41.5696, Y-Axis: 88.1562
City: Wenona, IL, X-Axis: 41.0531, Y-Axis: 89.0534
City: Roanoke, IL, X-Axis: 40.7974, Y-Axis: 89.1998
City: Lockport, IL, X-Axis: 41.5887, Y-Axis: 88.0473
City: Shumway, IL, X-Axis: 39.1841, Y-Axis: 88.653
City: Goodfield, IL, X-Axis: 40.6273, Y-Axis: 89.2724
City: Armington, IL, X-Axis: 40.3391, Y-Axis: 89.3137
City: Assumption, IL, X-Axis: 39.5195, Y-Axis: 89.0491
City: Effingham, IL, X-Axis: 39.1209, Y-Axis: 88.5459
City: Dieterich, IL, X-Axis: 39.0602, Y-Axis: 88.379
City: Mount Pulaski, IL, X-Axis: 40.0101, Y-Axis: 89.2846
City: Minier, IL, X-Axis: 40.4343, Y-Axis: 89.3128
City: Wheeler, IL, X-Axis: 39.0438, Y-Axis: 88.3173
City: Leonore, IL, X-Axis: 41.1894, Y-Axis: 88.9814
City: Illiopolis, IL, X-Axis: 39.8514, Y-Axis: 89.2471
City: Toluca, IL, X-Axis: 41.0034, Y-Axis: 89.1332
City: Tower Hill, IL, X-Axis: 39.3863, Y-Axis: 88.9597
City: Eureka, IL, X-Axis: 40.7156, Y-Axis: 89.2752
City: Plainfield, IL, X-Axis: 41.6173, Y-Axis: 88.2028
City: Ottawa, IL, X-Axis: 41.3471, Y-Axis: 88.8422
City: Newton, IL, X-Axis: 38.9881, Y-Axis: 88.1644
City: Lostant, IL, X-Axis: 41.1421, Y-Axis: 89.0614
City: Naplate, IL, X-Axis: 41.3313, Y-Axis: 88.8789
City: Romeoville, IL, X-Axis: 41.6405, Y-Axis: 88.1029
City: Stonington, IL, X-Axis: 39.6377, Y-Axis: 89.1917
City: Deer Creek, IL, X-Axis: 40.6293, Y-Axis: 89.3316
City: Cowden, IL, X-Axis: 39.249, Y-Axis: 88.86
City: Newark, IL, X-Axis: 41.5363, Y-Axis: 88.5808
City: Mount Auburn, IL, X-Axis: 39.7659, Y-Axis: 89.2611
City: Lincoln, IL, X-Axis: 40.1499, Y-Axis: 89.3675
City: Beecher City, IL, X-Axis: 39.187, Y-Axis: 88.7857
City: Mackinaw, IL, X-Axis: 40.534, Y-Axis: 89.3586
City: Ste. Marie, IL, X-Axis: 38.9315, Y-Axis: 88.0252
City: Millington, IL, X-Axis: 41.562, Y-Axis: 88.5996
City: Tonica, IL, X-Axis: 41.2159, Y-Axis: 89.068
City: La Rose, IL, X-Axis: 40.981, Y-Axis: 89.2362
City: Sheridan, IL, X-Axis: 41.5284, Y-Axis: 88.6841
City: Bolingbrook, IL, X-Axis: 41.6986, Y-Axis: 88.0887
City: Watson, IL, X-Axis: 39.0245, Y-Axis: 88.5684
City: Hopedale, IL, X-Axis: 40.4223, Y-Axis: 89.4178
City: Pana, IL, X-Axis: 39.3871, Y-Axis: 89.0812
City: Yorkville, IL, X-Axis: 41.6466, Y-Axis: 88.4468
City: Varna, IL, X-Axis: 41.0366, Y-Axis: 89.2248
City: Washburn, IL, X-Axis: 40.9199, Y-Axis: 89.2917
City: Hartsburg, IL, X-Axis: 40.2512, Y-Axis: 89.4407
City: Oswego, IL, X-Axis: 41.6907, Y-Axis: 88.3418
City: Magnolia, IL, X-Axis: 41.1127, Y-Axis: 89.1953
City: Metamora, IL, X-Axis: 40.7911, Y-Axis: 89.3624
City: North Utica, IL, X-Axis: 41.3432, Y-Axis: 89.0109
City: Owaneco, IL, X-Axis: 39.4822, Y-Axis: 89.1936
City: Boulder Hill, IL, X-Axis: 41.7106, Y-Axis: 88.3335
City: Woodridge, IL, X-Axis: 41.7446, Y-Axis: 88.0439
City: Oglesby, IL, X-Axis: 41.2968, Y-Axis: 89.0661
City: Broadwell, IL, X-Axis: 40.0674, Y-Axis: 89.4427
City: Altamont, IL, X-Axis: 39.06, Y-Axis: 88.7488
City: Naperville, IL, X-Axis: 41.7498, Y-Axis: 88.1557
City: Plano, IL, X-Axis: 41.6631, Y-Axis: 88.536
City: Herrick, IL, X-Axis: 39.2192, Y-Axis: 88.9842
City: Montgomery, IL, X-Axis: 41.7279, Y-Axis: 88.329
City: Washington, IL, X-Axis: 40.7039, Y-Axis: 89.4206
City: Buffalo, IL, X-Axis: 39.8518, Y-Axis: 89.409
City: Cedar Point, IL, X-Axis: 41.2628, Y-Axis: 89.1265
City: Mechanicsburg, IL, X-Axis: 39.8094, Y-Axis: 89.3974
City: Emden, IL, X-Axis: 40.2978, Y-Axis: 89.4853
City: Sandwich, IL, X-Axis: 41.6471, Y-Axis: 88.6202
City: McNabb, IL, X-Axis: 41.1764, Y-Axis: 89.2085
City: Morton, IL, X-Axis: 40.6116, Y-Axis: 89.4633
City: Aurora, IL, X-Axis: 41.7599, Y-Axis: 88.2985
City: Taylorville, IL, X-Axis: 39.5408, Y-Axis: 89.288
City: Somonauk, IL, X-Axis: 41.6339, Y-Axis: 88.6819
City: Mason, IL, X-Axis: 38.9524, Y-Axis: 88.6265
City: Tremont, IL, X-Axis: 40.5257, Y-Axis: 89.4904
City: Lisle, IL, X-Axis: 41.7918, Y-Axis: 88.0878
City: La Salle, IL, X-Axis: 41.3411, Y-Axis: 89.0908
City: Elkhart, IL, X-Axis: 40.0204, Y-Axis: 89.4836
City: Oconee, IL, X-Axis: 39.2866, Y-Axis: 89.1087
City: Standard, IL, X-Axis: 41.2565, Y-Axis: 89.179
City: Dawson, IL, X-Axis: 39.8545, Y-Axis: 89.4612
City: Peru, IL, X-Axis: 41.3345, Y-Axis: 89.1274
City: Edinburg, IL, X-Axis: 39.6579, Y-Axis: 89.3897
City: Germantown Hills, IL, X-Axis: 40.7683, Y-Axis: 89.4683
City: Leland, IL, X-Axis: 41.6141, Y-Axis: 88.798
City: Sugar Grove, IL, X-Axis: 41.7725, Y-Axis: 88.4424
City: Edgewood, IL, X-Axis: 38.9233, Y-Axis: 88.6624
City: Delavan, IL, X-Axis: 40.3708, Y-Axis: 89.5457
